Make,Model,Price,Miles,AgeYearsOld,Space,Color,State
Toyota,Camry,7877,120178,10,More Room,Black,MN
Chevrolet,Impala,8995,71293,9,More Room,Silver,IA
Toyota,Camry,15999,40001,2,More Room,Silver,MN
Honda,Accord,22599,19950,3,More Room,Black,MN
Toyota,Camry,15699,38064,4,More Room,White,MN
Honda,Civic,6995,113012,11,Less Room,Black,IA
Chevrolet,Impala,15988,39697,3,More Room,Silver,IA
Toyota,Camry,3995,176000,14,More Room,Gray,MN
Chevrolet,Impala,3495,190579,11,More Room,Red,MN
Honda,Accord,14688,73756,6,More Room,Silver,MN
Toyota,Corolla,14500,42550,4,Less Room,Black,MN
Toyota,Corolla,14997,40302,2,Less Room,White,WI
Chevrolet,Impala,7995,109000,6,More Room,Red,IA
Chevrolet,Impala,22990,23653,2,More Room,Red,MN
Toyota,Camry,23498,16204,1,More Room,Black,WI
Toyota,Corolla,13000,47300,3,Less Room,,MN
Chevrolet,Malibu,10995,57295,6,Less Room,Silver,IA
Toyota,Camry,7788,105987,12,More Room,Red,MN
Chevrolet,Impala,18400,34000,2,More Room,Silver,MN
Chevrolet,Impala,23895,16338,1,More Room,White,MN
Chevrolet,Impala,24795,29422,2,More Room,Black,MN
Chevrolet,Impala,9950,68808,5,More Room,Gray,MN
Chevrolet,Malibu,9603,79154,7,Less Room,White,IA
Chevrolet,Malibu,17975,14132,3,Less Room,Maroon,MN
Toyota,Corolla,15299,36633,3,Less Room,Silver,MN
Chevrolet,Malibu,15500,67334,4,Less Room,Beige,MN
Chevrolet,Malibu,15350,33689,3,Less Room,Gray,MN
Chevrolet,Impala,11992,69030,7,More Room,Black,WI
Chevrolet,Impala,13950,48636,5,More Room,Gray,MN
Toyota,Camry,24000,6956,2,More Room,Black,MN
Chevrolet,Malibu,15985,14002,3,Less Room,Silver,IA
Chevrolet,Impala,19997,63275,4,More Room,Black,MN
Chevrolet,Impala,8990,72503,8,More Room,Gray,MN
Chevrolet,Impala,6000,155363,10,More Room,Red,MN
Chevrolet,Malibu,16490,50064,4,Less Room,Gold,MN
Chevrolet,Impala,9995,96035,7,More Room,White,IA
Chevrolet,Malibu,12995,59490,4,Less Room,Burgundy,IA
Toyota,Corolla,13990,36017,4,Less Room,Black,MN
Chevrolet,Malibu,9999,87404,6,Less Room,Tan,WI
Chevrolet,Impala,4277,174376,10,More Room,Tan,MN
Honda,Accord,12490,87772,6,More Room,Gray,MN
Honda,Accord,3550,164986,19,More Room,Pearl,MN
Chevrolet,Impala,6995,157465,5,More Room,Maroon,IA
Toyota,Camry,14995,48265,4,More Room,Gray,MN
Chevrolet,Impala,3995,143000,17,More Room,Gold,MN
Chevrolet,Malibu,22999,26012,3,Less Room,Red,WI
Honda,Civic,2990,166175,21,Less Room,Green,MN
Chevrolet,Impala,21495,33136,3,More Room,Silver,MN
Honda,Civic,5495,114602,12,Less Room,Red,MN
Honda,Civic,11199,62222,7,Less Room,,MN
Chevrolet,Impala,10900,73000,6,More Room,Black,MN
Chevrolet,Impala,9995,99130,6,More Room,Silver,MN
Toyota,Camry,1500,318000,14,More Room,,MN
Chevrolet,Impala,21500,22348,1,More Room,Black,MN
Chevrolet,Malibu,3995,119842,12,Less Room,Gray,MN
Chevrolet,Malibu,2995,160751,14,Less Room,Gray,MN
Honda,Accord,7500,204367,11,More Room,,MN
Honda,Accord,8995,147490,10,More Room,Black,WI
Chevrolet,Impala,16750,61081,4,More Room,Silver,MN
Chevrolet,Malibu,8495,58441,8,Less Room,Blue,MN
Chevrolet,Malibu,1988,178500,14,Less Room,Silver,MN
Chevrolet,Malibu,13331,41755,5,Less Room,White,WI
Chevrolet,Impala,4999,176790,7,More Room,White,IA
Honda,Accord,17299,45796,4,More Room,Red,MN
Chevrolet,Malibu,15900,63000,3,Less Room,Maroon,MN
Toyota,Camry,15500,35050,4,More Room,Silver,MN
Chevrolet,Malibu,13999,30878,4,Less Room,Silver,WI
